"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.id","Input.date","Input.code","Input.name","Input.units","Answer.A4","Answer.B4","Answer.C4","Answer.D4","Answer.E4","Approve","Reject"
"2525UFJ51Y7QS9KPUYJ1HSTN0ZFC9K","28BLKH1Q6SVQM2TIIYL6Q5OBVBQK1D","Fill in the grid","Place values in their appropriate cell","transcription, spreadsheet","$0.01","Sun Nov 11 22:16:17 GMT 2012","40","BatchId:960675;","300","172800","Mon Nov 12 22:16:17 GMT 2012","","","21KQV66RLPHI7O25SIMKN62PMUS6EX","A5YNMUFWH5Z7K","Submitted","Mon Nov 12 01:54:04 GMT 2012","Mon Nov 12 01:54:45 GMT 2012","Tue Nov 13 17:54:45 PST 2012","","","","41","0% (0/0)","0% (0/0)","0% (0/0)","1","12/31/1998","10501","Adams, Logan","30.40","1","12/31/1998","10501","Adams, Logan","30.4"
"2525UFJ51Y7QS9KPUYJ1HSTN0ZFC9K","28BLKH1Q6SVQM2TIIYL6Q5OBVBQK1D","Fill in the grid","Place values in their appropriate cell","transcription, spreadsheet","$0.01","Sun Nov 11 22:16:17 GMT 2012","40","BatchId:960675;","300","172800","Mon Nov 12 22:16:17 GMT 2012","","","224WY2AOO2GM0Z1YKOHSHM6KDEX449","AWEQZZGOOBGV3","Submitted","Mon Nov 12 03:16:46 GMT 2012","Mon Nov 12 03:17:15 GMT 2012","Tue Nov 13 19:17:15 PST 2012","","","","29","0% (0/0)","0% (0/0)","0% (0/0)","1","12/31/1998","10501","Adams, Logan","30.40","1","12/31/1998","10501","Adams, Logan","30.4"
"2525UFJ51Y7QS9KPUYJ1HSTN0ZFC9K","28BLKH1Q6SVQM2TIIYL6Q5OBVBQK1D","Fill in the grid","Place values in their appropriate cell","transcription, spreadsheet","$0.01","Sun Nov 11 22:16:17 GMT 2012","40","BatchId:960675;","300","172800","Mon Nov 12 22:16:17 GMT 2012","","","22HW1INMHGYQI4OX6JXBKMFHR2QJ6X","A34HSPNUYSHSR","Submitted","Mon Nov 12 02:14:19 GMT 2012","Mon Nov 12 02:15:06 GMT 2012","Tue Nov 13 18:15:06 PST 2012","","","","47","0% (0/0)","0% (0/0)","0% (0/0)","1","12/31/1998","10501","Adams, Logan","30.40","1","12/31/1998","10501","Adams , Logan","30.4"
"2525UFJ51Y7QS9KPUYJ1HSTN0ZFC9K","28BLKH1Q6SVQM2TIIYL6Q5OBVBQK1D","Fill in the grid","Place values in their appropriate cell","transcription, spreadsheet","$0.01","Sun Nov 11 22:16:17 GMT 2012","40","BatchId:960675;","300","172800","Mon Nov 12 22:16:17 GMT 2012","","","25CCJ011K274XSUUM4X1DN48X18AC1","A9GOADDQOJDA3","Submitted","Mon Nov 12 02:45:10 GMT 2012","Mon Nov 12 02:45:59 GMT 2012","Tue Nov 13 18:45:59 PST 2012","","","","49","0% (0/0)","0% (0/0)","0% (0/0)","1","12/31/1998","10501","Adams, Logan","30.40","1","12/31/1998","10501","Adams, Logan","30.4"
"2525UFJ51Y7QS9KPUYJ1HSTN0ZFC9K","28BLKH1Q6SVQM2TIIYL6Q5OBVBQK1D","Fill in the grid","Place values in their appropriate cell","transcription, spreadsheet","$0.01","Sun Nov 11 22:16:17 GMT 2012","40","BatchId:960675;","300","172800","Mon Nov 12 22:16:17 GMT 2012","","","25CI62NJQ217GKUJMPXBPLCXHFOVN6","A1EVGR31WASDYL","Submitted","Mon Nov 12 03:03:29 GMT 2012","Mon Nov 12 03:03:52 GMT 2012","Tue Nov 13 19:03:52 PST 2012","","","","23","0% (0/0)","0% (0/0)","0% (0/0)","1","12/31/1998","10501","Adams, Logan","30.40","1","12/31/1998","10501","Adams, Logan","30.4"
"2525UFJ51Y7QS9KPUYJ1HSTN0ZFC9K","28BLKH1Q6SVQM2TIIYL6Q5OBVBQK1D","Fill in the grid","Place values in their appropriate cell","transcription, spreadsheet","$0.01","Sun Nov 11 22:16:17 GMT 2012","40","BatchId:960675;","300","172800","Mon Nov 12 22:16:17 GMT 2012","","","25IVJ8EBDPGFZRGML4Q9WNDYLSEF0G","A2LAA2VD1B7CL6","Submitted","Mon Nov 12 00:49:25 GMT 2012","Mon Nov 12 00:50:10 GMT 2012","Tue Nov 13 16:50:10 PST 2012","","","","45","0% (0/0)","0% (0/0)","0% (0/0)","1","12/31/1998","10501","Adams, Logan","30.40","1","12/31/1998","10501","adams,logan","30.4"
"2525UFJ51Y7QS9KPUYJ1HSTN0ZFC9K","28BLKH1Q6SVQM2TIIYL6Q5OBVBQK1D","Fill in the grid","Place values in their appropriate cell","transcription, spreadsheet","$0.01","Sun Nov 11 22:16:17 GMT 2012","40","BatchId:960675;","300","172800","Mon Nov 12 22:16:17 GMT 2012","","","25OJ5OPB0YVGDTJWSJYEU9U546O6Y3","AK9BHBWY3743N","Submitted","Sun Nov 11 23:00:20 GMT 2012","Sun Nov 11 23:00:38 GMT 2012","Tue Nov 13 15:00:38 PST 2012","","","","18","0% (0/0)","0% (0/0)","0% (0/0)","1","12/31/1998","10501","Adams, Logan","30.40","1","12/31/1998","10501","Adams, Logan","30.4"
"2525UFJ51Y7QS9KPUYJ1HSTN0ZFC9K","28BLKH1Q6SVQM2TIIYL6Q5OBVBQK1D","Fill in the grid","Place values in their appropriate cell","transcription, spreadsheet","$0.01","Sun Nov 11 22:16:17 GMT 2012","40","BatchId:960675;","300","172800","Mon Nov 12 22:16:17 GMT 2012","","","25OJ5OPB0YVGDTJWSJYEU9U546VY62","A09882773GWLLMVNY40YA","Submitted","Mon Nov 12 01:28:20 GMT 2012","Mon Nov 12 01:28:41 GMT 2012","Tue Nov 13 17:28:41 PST 2012","","","","21","0% (0/0)","0% (0/0)","0% (0/0)","1","12/31/1998","10501","Adams, Logan","30.40","1","12/31/1998","10501","Adams, Logan","30.4"
"2525UFJ51Y7QS9KPUYJ1HSTN0ZFC9K","28BLKH1Q6SVQM2TIIYL6Q5OBVBQK1D","Fill in the grid","Place values in their appropriate cell","transcription, spreadsheet","$0.01","Sun Nov 11 22:16:17 GMT 2012","40","BatchId:960675;","300","172800","Mon Nov 12 22:16:17 GMT 2012","","","27VV0FK0COK2XZMW3XBKELRY9SJPIP","A24511A5O08H5E","Submitted","Mon Nov 12 01:00:40 GMT 2012","Mon Nov 12 01:01:16 GMT 2012","Tue Nov 13 17:01:16 PST 2012","","","","36","0% (0/0)","0% (0/0)","0% (0/0)","1","12/31/1998","10501","Adams, Logan","30.40","1","12/31/1998","10501","Adams,Logan","30.4"
"2525UFJ51Y7QS9KPUYJ1HSTN0ZFC9K","28BLKH1Q6SVQM2TIIYL6Q5OBVBQK1D","Fill in the grid","Place values in their appropriate cell","transcription, spreadsheet","$0.01","Sun Nov 11 22:16:17 GMT 2012","40","BatchId:960675;","300","172800","Mon Nov 12 22:16:17 GMT 2012","","","28GCCF0CP5KX3E3XEQOYL4POARPWVV","A3BKWNSLZJOOIC","Submitted","Mon Nov 12 02:36:09 GMT 2012","Mon Nov 12 02:36:32 GMT 2012","Tue Nov 13 18:36:32 PST 2012","","","","23","0% (0/0)","0% (0/0)","0% (0/0)","1","12/31/1998","10501","Adams, Logan","30.40","1","12/31/1998","10501","Adams, Logan","30.4"
